scope,bracket,n_break,break_rate,trade_net,trade_win,tp_hit,sl_hit,trade_sharpe,trade_maxdd,port_eq_net,port_eq_sharpe,port_eq_maxdd,port_pw_sharpe,port_pw_maxdd
"bucket=[0.70,0.75)",TP3/ORB-low,4897,79.8076923076923,0.2429764733478622,61.057790483969775,56.64692668981009,36.57341229324076,-0.4996062145297584,-84.50453799092095,0.19391391622954393,-0.20790650330920973,-55.848300252391226,-0.20625346471806427,-55.75802777273502
"bucket=[0.70,0.75)",TP3/2x-range,4897,79.8076923076923,0.35367134210839546,69.06269144374106,63.69205636103737,23.095772922197263,-0.2947061658315066,-80.83673425490923,0.28225693649035405,0.020263369485924023,-55.89164482012503,0.02343619618421691,-55.85055293216301
"bucket=[0.75,0.85)",TP2/SL-2%,690,52.75229357798165,0.060700423491912237,63.6231884057971,56.086956521739125,36.08695652173913,-0.07698268382122639,-25.792831948932438,0.03202086560353168,-0.0832881599202074,-24.927123248336013,-0.08562547689545143,-24.935172178682517
"bucket=[0.75,0.85)",TP2/SL-3%,690,52.75229357798165,0.1262956014519408,72.02898550724638,64.34782608695652,27.10144927536232,-0.05912930239743014,-35.03500669543198,0.0666238264540054,-0.04676268796198538,-34.3136908895526,-0.048682651937699384,-34.38795925535848
"bucket=[0.75,0.85)",TP2/ORB-low,690,52.75229357798165,0.22798611641652944,77.39130434782608,70.14492753623188,21.15942028985507,0.04357283667852735,-42.44631121189477,0.1202679054490866,-0.09701849545736348,-41.54218596623108,-0.09922661114786512,-41.558890584454524
"bucket=[0.75,0.85)",TP2/2x-range,690,52.75229357798165,0.34372804931703527,82.17391304347827,74.34782608695653,13.91304347826087,0.439986872907842,-50.960615514898876,0.181324429685592,0.2025307283815757,-47.19173592712167,0.20121376442584257,-47.301360460455264
"bucket=[0.75,0.85)",TP3/SL-2%,690,52.75229357798165,0.23117834516027613,56.231884057971016,47.53623188405797,43.333333333333336,0.5005111466697099,-34.829605289847024,0.12195187932766853,0.2694272968734734,-34.798799179196635,0.26740754641013953,-34.75692194720775
"bucket=[0.75,0.85)",TP3/SL-3%,690,52.75229357798165,0.3696144860765439,65.65217391304347,56.811594202898554,33.18840579710145,0.549885998094287,-43.98591798575649,0.19498011880184649,0.31846194541758865,-43.815277886876125,0.3159708841137217,-43.77602519323146
"bucket=[0.75,0.85)",TP3/ORB-low,690,52.75229357798165,0.506823806671531,71.30434782608695,62.89855072463768,26.521739130434785,0.6040183082681507,-47.335471820109696,0.26736118241846824,0.27584568809254906,-47.456247981034394,0.27362106048000107,-47.39364091057288
"bucket=[0.75,0.85)",TP3/2x-range,690,52.75229357798165,0.6335012984994444,76.95652173913044,67.82608695652173,17.681159420289855,0.7967434200468758,-54.91970438785746,0.33418646480475284,0.40795863489596673,-49.32785570389244,0.40611388494769757,-49.39795089056804
"bucket=[0.85,1.01)",TP2/SL-2%,22,9.649122807017545,0.013636363636362947,59.09090909090909,59.09090909090909,40.909090909090914,0.049224759248538995,-11.86653016807675,0.0013157894736841337,0.13423227237683055,-8.64662539210923,0.13667900109766326,-8.61491575509823
"bucket=[0.85,1.01)",TP2/SL-3%,22,9.649122807017545,-0.16818181818181807,63.63636363636363,63.63636363636363,36.36363636363637,-0.4964070910049533,-17.145035959883348,-0.016228070175438602,-0.016728979772906757,-12.762176198297404,-0.014009143033607658,-12.718789616352344
"bucket=[0.85,1.01)",TP2/ORB-low,22,9.649122807017545,-0.30871443171828816,77.27272727272727,77.27272727272727,18.181818181818183,-0.5337037515331962,-26.15924629744888,-0.02978823463948397,-0.024375713720299876,-19.714362920427952,-0.02022922240182057,-19.60729135775241
"bucket=[0.85,1.01)",TP2/2x-range,22,9.649122807017545,0.3549988263517727,81.81818181818183,81.81818181818183,13.636363636363635,0.7574776874097999,-15.818556271137663,0.03425427271815349,0.6984201521483315,-9.005191757186747,0.7137968565374894,-8.84380971005937
"bucket=[0.85,1.01)",TP3/SL-2%,22,9.649122807017545,0.6045454545454539,59.09090909090909,59.09090909090909,40.909090909090914,1.7458381280149537,-10.999501443709569,0.05833333333333326,0.6696947524256186,-7.747920280373977,0.6718254865346022,-7.715898694154777
"bucket=[0.85,1.01)",TP3/SL-3%,22,9.649122807017545,0.46818181818181825,63.63636363636363,63.63636363636363,36.36363636363637,1.1515750084123917,-16.329935477442437,0.045175438596491216,0.5262710690508096,-11.903958551453309,0.5288425762210962,-11.860145146272139
"bucket=[0.85,1.01)",TP3/ORB-low,22,9.649122807017545,0.46401284100898443,77.27272727272727,77.27272727272727,18.181818181818183,0.7353837826116045,-24.699256833739657,0.04477316886928797,0.4300012950074091,-19.4160545138086,0.43484499263777365,-19.291578868802883
"bucket=[0.85,1.01)",TP3/2x-range,22,9.649122807017545,1.148134262344351,81.81818181818183,77.27272727272727,13.636363636363635,2.2369608977134443,-15.35623604893569,0.11078488496305139,1.1899253214237835,-9.005191757186736,1.2040446909816198,-8.84380971005937
